{{0, -0.09550717091872941}, {0.01, -0.2246496917023304}, 
 {0.02, -0.21863690923515045}, {0.03, -0.21616970123108492}, 
 {0.04, -0.2175240527853713}, {0.05, -0.22122727267286718}, 
 {0.06, -0.19235873429064754}, {0.07, -0.21266932990764487}, 
 {0.08, -0.22724745949566905}, {0.09, -0.23813035842681154}, 
 {0.1, -0.24652854528720125}, {0.11, -0.25319269456546634}, 
 {0.12, -0.28856284941266197}, {0.13, -0.2923623140521694}, 
 {0.14, -0.29562635652394914}, {0.15, -0.2984813763062495}, 
 {0.16, -0.3415988510305576}, {0.17, -0.34356952840862204}, 
 {0.18, -0.34539833368811246}, {0.19, -0.34710447792326615}, 
 {0.2, -0.3487031909276634}, {0.21, -0.35020682458156005}, 
 {0.22, -0.351625576620147}, {0.23, -0.3529679909257624}, 
 {0.24, -0.35424131446472634}, {0.25, -0.3554517606293939}, 
 {0.26, -0.35660470380128717}, {0.27, -0.3577048372942027}, 
 {0.28, -0.3587562821076623}, {0.29, -0.35976268529939637}, 
 {0.3, -0.3607272925733499}, {0.31, -0.3616530048844697}, 
 {0.32, -0.36254243193134983}, {0.33, -0.36339792860229325}, 
 {0.34, -0.36422162910084543}, {0.35000000000000003, -0.36501547519927424}, 
 {0.36, -0.365781237301291}, {0.37, -0.36652053789066935}, 
 {0.38, -0.367234865754872}, {0.39, -0.367925591259327}, 
 {0.4, -0.368593978810595}, {0.41000000000000003, -0.3692411978847506}, 
 {0.42, -0.3698683316548729}, {0.43, -0.3704763866308612}, 
 {0.44, -0.37106629889105924}, {0.45, -0.3716389407807216}, 
 {0.46, -0.37219512713402725}, {0.47000000000000003, -0.37273561791718096}, 
 {0.48, -0.373261127017679}, {0.49, -0.3737723222464596}, 
 {0.5, -0.37426983101675265}, {0.51, -0.37475424304885807}, 
 {0.52, -0.3752261132257318}, {0.53, -0.37568596433244383}, 
 {0.54, -0.3761342894245327}, {0.55, -0.37657155400553016}, 
 {0.56, -0.37699819799248624}, {0.5700000000000001, -0.37741463750986104}, 
 {0.58, -0.3778212665323494}, {0.59, -0.3782184583888965}, 
 {0.6, -0.37860656713977736}, {0.61, -0.3789859288402244}, 
 {0.62, -0.37935686270180496}, {0.63, -0.3797196721620585}, 
 {0.64, -0.38007464587059336}, {0.65, -0.3804220585998149}, 
 {0.66, -0.38076217208728114}, {0.67, -0.38109523581680166}, 
