{0., {-6.975000000000031, -6.475000000000122}}
{0.01, {-6.967500000000011, -6.482816726656389}}
{0.02, {-6.960000000000018, -6.491151285352481}}
{0.03, {-6.952500000000018, -6.499878485043127}}
{0.04, {-6.945000000000041, -6.508916288502501}}
{0.05, {-6.937500000000037, -6.518208675829309}}
{0.06, {-6.930000000000032, -6.527715756050179}}
{0.07, {-6.922500000000045, -6.537407988569573}}
{0.08, {-6.915000000000061, -6.5472627171347515}}
{0.09, {-6.9075000000000495, -6.55726202649723}}
{0.1, {-6.900000000000054, -6.5673913750335515}}
{0.11, {-6.892500000000043, -6.577638695560662}}
{0.12, {-6.8850000000000575, -6.587993786740782}}
{0.13, {-6.877500000000062, -6.598447889829821}}
{0.14, {-6.870000000000049, -6.608993386741502}}
{0.15, {-6.86250000000005, -6.6196235794773965}}
{0.16, {-6.855000000000024, -6.6303325253967635}}
{0.17, {-6.84750000000004, -6.641114911642932}}
{0.18, {-6.840000000000013, -6.651965957591607}}
{0.19, {-6.832499999999976, -6.662881337740449}}
{0.2, {-6.824999999999994, -6.673857119781777}}
{0.21, {-6.817499999999999, -6.684889714144873}}
{0.22, {-6.8100000000000165, -6.695975832344331}}
{0.23, {-6.802500000000003, -6.707112452188813}}
{0.24, {-6.794999999999999, -6.718296788412133}}
{0.25, {-6.7875000000000165, -6.729526267644979}}
{0.26, {-6.779999999999989, -6.74079850690363}}
{0.27, {-6.772500000000017, -6.752111294961736}}
{0.28, {-6.765000000000016, -6.763462576107725}}
{0.29, {-6.7748504358976644, -6.757500000000034}}
{0.3, {-6.7862730885891445, -6.750000000000026}}
{0.31, {-6.797728866004756, -6.742500000000015}}
{0.32, {-6.809216207618501, -6.735000000000016}}
{0.33, {-6.820733651696247, -6.727500000000007}}
{0.34, {-6.832279827349994, -6.720000000000035}}
{0.35000000000000003, {-6.843853447387849, -6.712500000000018}}
{0.36, {-6.855453301861937, -6.70500000000005}}
{0.37, {-6.867078252229414, -6.697500000000009}}
{0.38, {-6.878727226055863, -6.690000000000034}}
{0.39, {-6.890399212199099, -6.6825000000000125}}
{0.4, {-6.902093256421062, -6.675000000000017}}
{0.41000000000000003, {-6.913808457381574, -6.667500000000051}}
{0.42, {-6.9255439629736655, -6.660000000000049}}
{0.43, {-6.937298966966524, -6.652500000000033}}
{0.44, {-6.949072705924223, -6.645000000000079}}
{0.45, {-6.96086445637379, -6.637500000000094}}
{0.46, {-6.97267353219885, -6.630000000000051}}
{0.47000000000000003, {-6.984499282237136, -6.622500000000082}}
{0.48, {-6.996341088063295, -6.615000000000066}}
{0.49, {-7.008198361940542, -6.607500000000051}}
{0.5, {-7.020070544925078, -6.600000000000055}}
{0.51, {-7.031957105111008, -6.592500000000036}}
{0.52, {-7.043857536002857, -6.585000000000012}}
{0.53, {-7.055771355005184, -6.577500000000019}}
{0.54, {-7.067698102019266, -6.570000000000077}}
{0.55, {-7.079637338138075, -6.579637338138119}}
{0.56, {-7.091588644431602, -6.591588644431633}}
{0.5700000000000001, {-7.103551620815119, -6.603551620815195}}
{0.58, {-7.115525884993998, -6.615525884994064}}
{0.59, {-7.127511071478664, -6.627511071478702}}
{0.6, {-7.139506830664897, -6.6395068306649385}}
{0.61, {-7.151512827973727, -6.6515128279737565}}
{0.62, {-7.163528743047177, -6.66352874304725}}
{0.63, {-7.175554268995018, -6.675554268995056}}
{0.64, {-7.187589111689067, -6.687589111689088}}
{0.65, {-7.19963298910179, -6.699632989101818}}
{0.66, {-7.211685630685456, -6.711685630685483}}
{0.67, {-7.223746776789381, -6.723746776789394}}
{0.68, {-7.23581617811239, -6.7358161781124295}}
{0.6900000000000001, {-7.24789359518816, -6.7478935951882}}
{0.7000000000000001, {-7.259978797900779, -6.7599787979008275}}
{0.71, {-7.272071565029214, -6.772071565029257}}
{0.72, {-7.2841716838177195, -6.784171683817763}}
{0.73, {-7.296278949571433, -6.796278949571485}}
{0.74, {-7.3083931652746745, -6.808393165274735}}
{0.75, {-7.3205141412309835, -6.820514141231011}}
{0.76, {-7.332641694723306, -6.832641694723341}}
{0.77, {-7.344775649692831, -6.844775649692877}}
{0.78, {-7.356915836435656, -6.8569158364356655}}
{0.79, {-7.369062091315843, -6.8690620913158655}}
{0.8, {-7.381214256493853, -6.881214256493863}}
{0.81, {-7.393372179669765, -6.89337217966976}}
{0.8200000000000001, {-7.405535713839874, -6.905535713839911}}
{0.8300000000000001, {-7.417704717065971, -6.917704717066006}}
{0.84, {-7.42987905225695, -6.92987905225697}}
{0.85, {-7.442058586961328, -6.942058586961352}}
{0.86, {-7.454243193170638, -6.954243193170655}}
{0.87, {-7.466432747132542, -6.966432747132588}}
{0.88, {-7.478627129173655, -6.9786271291736774}}
{0.89, {-7.490826223530829, -6.9908262235308705}}
{0.9, {-7.503029918191019, -7.0030299181910625}}
{0.91, {-7.515238104739039, -7.015238104739068}}
{0.92, {-7.527450678212413, -7.027450678212479}}
{0.93, {-7.53966753696364, -7.039667536963705}}
{0.9400000000000001, {-7.5518885825285675, -7.051888582528606}}
{0.9500000000000001, {-7.56411371950164, -7.064113719501667}}
{0.96, {-7.576342855416273, -7.076342855416278}}
{0.97, {-7.5885759006314, -7.088575900631431}}
{0.98, {-7.600812768223046, -7.100812768223068}}
{0.99, {-7.613053373880809, -7.113053373880858}}
{1., {-7.625297635809332, -7.125297635809356}}
