{0.01, {-5.952500000000033, -5.4684604862041}}
{0.02, {-5.9300000000000255, -5.463596328286826}}
{0.03, {-5.907500000000043, -5.460073101361816}}
{0.04, {-5.88500000000003, -5.457623406923821}}
{0.05, {-5.862500000000041, -5.456045267688251}}
{0.060000000000000005, {-5.840000000000043, -5.455188197749211}}
{0.06999999999999999, {-5.81750000000004, -5.4549391836600085}}
{0.08, {-5.795000000000032, -5.455211837960821}}
{0.09, {-5.772500000000048, -5.455938717289261}}
{0.09999999999999999, {-5.750000000000036, -5.457066037697919}}
{0.11, {-5.727500000000032, -5.458550050219786}}
{0.12, {-5.7050000000000365, -5.4603545315710615}}
{0.13, {-5.682499999999999, -5.4624490198109905}}
{0.14, {-5.6600000000000055, -5.464807551024509}}
{0.15000000000000002, {-5.637500000000001, -5.467407737314495}}
{0.16, {-5.614999999999994, -5.47023008100621}}
{0.17, {-5.592500000000016, -5.473257455145361}}
{0.18000000000000002, {-5.570000000000009, -5.476474703126246}}
{0.19, {-5.547500000000011, -5.479868325141768}}
{0.2, {-5.525000000000025, -5.483426228971598}}
{0.21000000000000002, {-5.50250000000002, -5.48713752920958}}
{0.22, {-5.4909923835125705, -5.480000000000029}}
{0.23, {-5.494981857545366, -5.457500000000064}}
{0.24000000000000002, {-5.499097812462693, -5.435000000000069}}
{0.25, {-5.5033328103096855, -5.416231511660801}}
{0.26, {-5.507680033829029, -5.437812699546005}}
{0.27, {-5.512133217973848, -5.459545158744874}}
{0.28, {-5.516686591023107, -5.481422468418124}}
{0.29000000000000004, {-5.52133482364315, -5.5034386330444125}}
{0.3, {-5.526072984580247, -5.525588040465548}}
{0.31, {-5.547865425592393, -5.530896501924687}}
{0.32, {-5.570265838821521, -5.535801129092395}}
{0.33, {-5.59278461839692, -5.540782914820843}}
{0.34, {-5.615417366097523, -5.545838176606144}}
{0.35000000000000003, {-5.6381599257446995, -5.550963477100561}}
{0.36000000000000004, {-5.661008364114595, -5.556155603073613}}
{0.37, {-5.683958953912379, -5.586722264322897}}
{0.38, {-5.707008158523545, -5.6192158041453855}}
{0.39, {-5.730152618304618, -5.651773643184478}}
{0.4, {-5.7533891382140965, -5.684394078246315}}
{0.41000000000000003, {-5.776714676613997, -5.717075491191178}}
{0.42000000000000004, {-5.800126335100154, -5.749816342588449}}
{0.43, {-5.823621349239105, -5.782615165986363}}
{0.44, {-5.847197080107523, -5.815470562725062}}
{0.45, {-5.870851006544021, -5.8483811972283}}
{0.46, {-5.894580718036939, -5.881345792721785}}
{0.47000000000000003, {-5.918383908180274, -5.91436312732924}}
{0.48000000000000004, {-5.947432030506452, -5.942258368639575}}
{0.49, {-5.980551379776936, -5.966201983576978}}
{0.5, {-6.013720097738432, -5.990212724490476}}
{0.51, {-6.04693714931249, -6.014288645428236}}
{0.52, {-6.080201539213286, -6.0384278785431365}}
{0.53, {-6.113512309613866, -6.0626286299566425}}
{0.54, {-6.146868537991335, -6.086889175905078}}
{0.55, {-6.180269335134365, -6.111207859143472}}
{0.56, {-6.213713843297574, -6.135583085585495}}
{0.5700000000000001, {-6.2472012344900545, -6.16001332116015}}
{0.5800000000000001, {-6.280730708885794, -6.184497088867116}}
{0.59, {-6.314301493345729, -6.209032966015626}}
{0.6, {-6.347912840041486, -6.233619581632425}}
{0.61, {-6.38156402517268, -6.258255614025518}}
{0.62, {-6.415254347769627, -6.282939788492841}}
{0.63, {-6.448983128574673, -6.307670875164414}}
{0.64, {-6.4827497089963, -6.332447686968865}}
{0.65, {-6.516553450129315, -6.357269077715364}}
{0.66, {-6.550393731836811, -6.382133940282736}}
{0.67, {-6.584269951888999, -6.407041204908791}}
{0.68, {-6.61818152515427, -6.431989837572572}}
{0.6900000000000001, {-6.652127882839208, -6.456978838463922}}
{0.7000000000000001, {-6.6861084717731565, -6.48200724053399}}
{0.7100000000000001, {-6.720122753735215, -6.507074108122202}}
{0.72, {-6.754170204819367, -6.532178535653884}}
{0.73, {-6.788250314836432, -6.557319646405347}}
{0.74, {-6.82236258674895, -6.582496591330743}}
{0.75, {-6.856506536137731, -6.607708547948266}}
{0.76, {-6.890681690697635, -6.6329547192813285}}
{0.77, {-6.924887589760359, -6.658234332851759}}
{0.78, {-6.959123783842691, -6.683546639721405}}
{0.79, {-6.9933898342188385, -6.7088909135803405}}
{0.8, {-7.027685312514497, -6.734266449878169}}
{0.81, {-7.062009800322482, -6.759672564995954}}
{0.8200000000000001, {-7.096362888837199, -6.785108595457059}}
{0.8300000000000001, {-7.130744178507738, -6.81057389717419}}
